calle,num,latitud,longitud,idAcc,desconocidos,ilesos,leves,graves,muertos
CALLE DE AYALA - CALLE DE VELAZQUEZ,0,40.42772009999999,-3.6839258,2018/14273,0,1,1,0,0
CALLE DE AYALA - CALLE DE VELAZQUEZ,0,40.42772009999999,-3.6839258,2018/2751,0,3,1,0,0
CALLE DE AYALA - CALLE DEL CONDE DE PEÑALVER,0,40.4273026,-3.6755092,2018/14278,0,0,3,0,0
CALLE DE AYALA - CALLE DEL PRINCIPE DE VERGARA,0,40.4275265,-3.6800149,2018/12088,0,3,2,0,0
CALLE DE AYALA - CALLE DEL PRINCIPE DE VERGARA,0,40.4275265,-3.6800149,2018/5868,0,2,2,0,0
CALLE DE AYALA - PASEO DE LA CASTELLANA,0,40.4279948,-3.6897177,2018/10457,1,3,1,0,0
CALLE DE AYALA - PASEO DE LA CASTELLANA,0,40.4279948,-3.6897177,2018/1239,0,4,1,0,0
CALLE DE AYALA - PASEO DE LA CASTELLANA,0,40.4279948,-3.6897177,2018/13984,0,0,1,0,0
CALLE DE AYALA - PASEO DE LA CASTELLANA,0,40.4279948,-3.6897177,2018/1720,0,5,1,0,0
CALLE DE AYALA - PASEO DE LA CASTELLANA,0,40.4279948,-3.6897177,2018/3542,0,3,0,1,0
CALLE DE AYALA - PASEO DE LA CASTELLANA,0,40.4279948,-3.6897177,2018/3949,0,4,10,0,0
CALLE DE AYALA - PASEO DE LA CASTELLANA,0,40.4279948,-3.6897177,2018/9138,0,0,1,0,0
CALLE DE AYALA NUM,103,40.4272164,-3.6710382,2018/16106,0,2,2,0,0
CALLE DE AYALA NUM,27,40.4272164,-3.6710382,2018/14570,0,1,1,0,0
CALLE DE AYALA NUM,36,40.4272164,-3.6710382,2018/2749,1,1,1,0,0
CALLE DE AYLLON - CARRETERA DE CARABANCHEL A ARAVACA,0,40.3974278,-3.7745744,2018/12011,0,1,1,0,0
CALLE DE AYTONA - PASEO DE EXTREMADURA,0,40.411272,-3.735388,2018/10105,0,1,2,0,0
CALLE DE AZAGRA - CALLE DEL MAR DE LAS ANTILLAS,          ,40.4747403,-3.6455928,2018/6489,0,0,1,0,0
CALLE DE AZCOITIA NUM,62,40.37461390000001,-3.7536762,2018/8642,1,2,1,0,0
CALLE DE AZCONA - CALLE DE PILAR DE ZARAGOZA,0,40.43409339999999,-3.6697584,2018/13950,0,3,1,0,0
CALLE DE AZCONA NUM,32,40.4339477,-3.6698875,2018/8437,0,4,1,0,0
CALLE DE AÑASTRO - CALLE DE ARTURO SORIA,0,40.4671176,-3.6662307,2018/1314,0,1,2,0,0
CALLE DE AÑASTRO - CALLE DE ARTURO SORIA,0,40.4671176,-3.6662307,2018/14843,0,4,1,0,0
CALLE DE AÑASTRO - CALLE DE ARTURO SORIA,0,40.4671176,-3.6662307,2018/377,0,6,2,0,0
CALLE DE AÑASTRO NUM,16,40.4671862,-3.6637895,2018/945,0,2,1,0,0
CALLE DE AÑASTRO NUM,50,40.4671862,-3.6637895,2018/13576,0,2,1,0,0
CALLE DE BACARES - CALLE DE PURCHENA,0,40.4779003,-3.664253,2018/16543,0,2,1,0,0
CALLE DE BACARES - CALLE DE VELEZ RUBIO,0,40.4767889,-3.6628543,2018/2239,0,3,1,0,0
CALLE DE BACARES - CALLE DE VELEZ RUBIO,0,40.4767889,-3.6628543,2018/9109,0,1,1,0,0
CALLE DE BAHIA DE ALCUDIA - CALLE DE BANDE,0,40.463742,-3.5909898,2018/4137,0,2,1,0,0
CALLE DE BAHIA DE ALCUDIA NUM,7,40.4623521,-3.5942961,2018/1819,3,1,2,0,0
CALLE DE BAHIA DE ALICANTE NUM,94,40.4657211,-3.5965424,2018/13496,0,2,1,0,0
CALLE DE BAILEN - CALLE DE CALATRAVA,          ,40.40917899999999,-3.7115055,2018/3952,0,0,1,0,0
CALLE DE BAILEN - CALLE DE DON PEDRO,0,40.4118114,-3.713872799999999,2018/16490,0,2,1,0,0
CALLE DE BAILEN - CALLE DE LA MORERIA,0,40.4130372,-3.7137376,2018/1231,0,2,1,0,0
CALLE DE BAILEN - CALLE DE LA MORERIA,0,40.4130372,-3.7137376,2018/5984,0,0,1,0,0
CALLE DE BAILEN - CUESTA DE SAN VICENTE,0,40.4210926,-3.7148353,2018/1031,0,4,1,0,0
CALLE DE BAILEN - CUESTA DE SAN VICENTE,0,40.4210926,-3.7148353,2018/11753,0,2,1,0,0
CALLE DE BAILEN - CUESTA DE SAN VICENTE,0,40.4210926,-3.7148353,2018/16502,0,2,1,0,0
CALLE DE BAILEN - CUESTA DE SAN VICENTE,0,40.4210926,-3.7148353,2018/3288,0,1,1,0,0
CALLE DE BAILEN - CUESTA DE SAN VICENTE,0,40.4210926,-3.7148353,2018/4475,0,1,1,0,0
CALLE DE BAILEN - PLAZA DE ARMERIA,0,40.4168523,-3.7152658,2018/8528,0,2,1,0,0
CALLE DE BAILEN - PLAZA DE ESPAÑA,0,40.4231121,-3.7145003,2018/3515,0,1,1,0,0
CALLE DE BAILEN - PLAZA DE LA MARINA ESPAÑOLA,0,40.4204473,-3.7127823,2018/3311,1,0,1,0,0
CALLE DE BAILEN - PLAZA DE SAN FRANCISCO,0,40.410933,-3.7139956,2018/4871,0,3,1,0,0
CALLE DE BAILEN - SUBTERRANEO,0,40.417955,-3.714311999999999,2018/1562,0,2,3,0,0
CALLE DE BAILEN NUM,1,40.4199157,-3.7130451,2018/6320,0,2,2,0,0
CALLE DE BAILEN NUM,12,40.4199157,-3.7130451,2018/12706,0,2,1,0,0
CALLE DE BAILEN NUM,20,40.4199157,-3.7130451,2018/1494,0,3,2,0,0
CALLE DE BAILEN NUM,23,40.4199157,-3.7130451,2018/4819,0,1,1,0,0
CALLE DE BAILEN NUM,35,40.4199157,-3.7130451,2018/16002,0,6,1,0,0
CALLE DE BALBINA VALVERDE - CALLE DE JOAQUIN COSTA,0,40.4462506,-3.6897367,2018/1160,0,2,1,0,0
CALLE DE BALBINA VALVERDE NUM,10,40.4475936,-3.6890407,2018/14155,0,0,1,0,0
CALLE DE BALBINA VALVERDE NUM,21,40.4475936,-3.6890407,2018/7805,0,0,1,0,0
CALLE DE BALCANICA NUM,3,40.4679037,-3.588920599999999,2018/6286,0,3,0,2,0
CALLE DE BALEARES - PASEO DE SANTA MARIA DE LA CABEZA,0,40.3897292,-3.7129216,2018/10804,0,1,1,0,0
CALLE DE BALEARES NUM,11,40.3956677,-3.7135582,2018/10690,0,2,1,0,0
CALLE DE BALTASAR GRACIAN - CALLE DE SANTA CRUZ DE MARCENADO,0,40.429057,-3.710634899999999,2018/1168,0,1,1,0,0
CALLE DE BALTASAR SANTOS - CALLE DE SIERRA TOLEDANA,0,40.4027867,-3.6601111,2018/3566,0,0,2,0,0
CALLE DE BARACALDO NUM,20,40.4697643,-3.700405199999999,2018/4309,1,0,1,0,0
CALLE DE BARBARA DE BRAGANZA - PASEO DE RECOLETOS,0,40.4231365,-3.6912214,2018/1203,0,5,1,0,0
CALLE DE BARBARA DE BRAGANZA - PASEO DE RECOLETOS,0,40.4231365,-3.6912214,2018/4818,0,1,1,0,0
