FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2004,Madrid,V,"C,C+E",0,0,10,51,85,39,6,0,191
11/03/2019,2004,Madrid,V,"C,C+E,A,A2",0,0,0,35,33,8,0,0,76
11/03/2019,2004,Madrid,V,C1,0,0,0,0,0,1,0,0,1
11/03/2019,2004,Madrid,V,"C1,A,A2",0,0,0,2,6,1,0,0,9
11/03/2019,2004,Madrid,V,"C1,A1",0,0,0,0,3,0,0,0,3
11/03/2019,2004,Madrid,V,"C1,C1+E,A,",0,0,0,1,3,0,0,0,4
11/03/2019,2004,Madrid,V,D ,0,0,0,40,58,21,1,0,120
11/03/2019,2004,Madrid,V,"D,A,A2",0,0,0,27,35,16,0,0,78
11/03/2019,2004,Madrid,V,"D,B+E",0,0,0,7,8,7,0,0,22
11/03/2019,2004,Madrid,V,"D,B+E,A,A2",0,0,0,1,0,0,0,0,1
11/03/2019,2004,Madrid,V,"D,C+E",0,0,0,0,1,0,0,0,1
11/03/2019,2004,Madrid,V,"D,D+E",0,0,0,38,54,32,3,0,127
11/03/2019,2004,Madrid,V,"D,D+E,A,A2",0,0,0,42,47,14,1,1,105
11/03/2019,2004,Madrid,V,D1,0,0,0,0,1,0,0,0,1
11/03/2019,2004,Madrid,V,Otros,0,0,776,1.254,392,84,14,1,2521
11/03/2019,2005,Madrid,M,A,0,0,0,1,2,0,0,0,3
11/03/2019,2005,Madrid,M,AM,0,0,11,14,8,17,6,0,56
11/03/2019,2005,Madrid,M,B,0,0,6.715,8.016,2.281,739,170,9,17930
11/03/2019,2005,Madrid,M,"B,A,A2",0,0,8,187,75,19,0,1,290
11/03/2019,2005,Madrid,M,"B,A1",0,0,32,17,3,0,0,0,52
11/03/2019,2005,Madrid,M,"B,B+E",0,0,2,23,18,5,2,0,50
11/03/2019,2005,Madrid,M,"B,B+E,A,A2",0,0,0,3,2,0,0,0,5
11/03/2019,2005,Madrid,M,BTP,0,0,2,20,29,5,0,0,56
11/03/2019,2005,Madrid,M,C,0,0,2,10,8,1,0,0,21
11/03/2019,2005,Madrid,M,"C,A,A2",0,0,0,8,3,0,0,0,11
11/03/2019,2005,Madrid,M,"C,C+E",0,0,0,0,1,0,0,0,1
11/03/2019,2005,Madrid,M,"C,C+E,A,A2",0,0,0,2,0,0,0,0,2
11/03/2019,2005,Madrid,M,"C1,A,A2",0,0,1,1,0,0,0,0,2
11/03/2019,2005,Madrid,M,D ,0,0,0,12,21,2,0,0,35
11/03/2019,2005,Madrid,M,"D,A,A2",0,0,0,2,4,0,0,0,6
11/03/2019,2005,Madrid,M,"D,A1",0,0,0,0,2,0,0,0,2
11/03/2019,2005,Madrid,M,"D,D+E",0,0,0,1,2,0,0,0,3
11/03/2019,2005,Madrid,M,"D,D+E,A,A2",0,0,0,0,1,0,0,0,1
11/03/2019,2005,Madrid,M,Otros,0,0,595,571,147,32,1,1,1347
